date,dateFa,yearFa,monthFa,dwnldTB,upldTB,sumTB,fileLink
2020-12-29,1399-10-09,1399,10,344.1,44.3,388.4,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-12-29.csv
2021-01-17,1399-10-28,1399,10,330.6,39.5,370.1,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-01-17.csv
2021-01-26,1399-11-07,1399,11,744.3,90.5,834.8,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-01-26.csv
2021-01-18,1399-10-29,1399,10,657.9,80.4,738.3,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-01-18.csv
2021-03-19,1399-12-29,1399,12,667.2,68.4,735.6,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-03-19.csv
2021-02-02,1399-11-14,1399,11,401.1,48.5,449.6,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-02-02.csv
2021-03-27,1400-01-07,1400,01,665,66.3,731.3,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-03-27.csv
2021-01-23,1399-11-04,1399,11,395.4,48.8,444.2,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-01-23.csv
2021-03-26,1400-01-06,1400,01,354.4,34.7,389.1,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-03-26.csv
2021-02-09,1399-11-21,1399,11,752.5,88.6,841.1,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-02-09.csv
2021-02-14,1399-11-26,1399,11,410.5,47.6,458.1,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-02-14.csv
2021-03-30,1400-01-10,1400,01,390.8,38.3,429.1,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-03-30.csv
2021-03-29,1400-01-09,1400,01,697,70,767,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-03-29.csv
2021-02-04,1399-11-16,1399,11,382.1,44.2,426.3,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-02-04.csv
2021-09-27,1400-07-05,1400,07,1153.9,117.7,1271.6,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-09-27.csv
2021-09-20,1400-06-29,1400,06,604.2,60.9,665.1,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-09-20.csv
2021-09-22,1400-06-31,1400,06,606.9,61.6,668.5,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-09-22.csv
2021-07-30,1400-05-08,1400,05,582.9,55,637.9,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-07-30.csv
2021-09-17,1400-06-26,1400,06,1102.9,106.9,1209.8,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-09-17.csv
2021-08-31,1400-06-09,1400,06,625.6,61.7,687.3,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-08-31.csv
2020-12-28,1399-10-08,1399,10,339.4,44.2,383.6,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-12-28.csv
2021-03-20,1399-12-30,1399,12,342.5,37.4,379.9,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-03-20.csv
2021-01-16,1399-10-27,1399,10,668.3,80.1,748.4,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-01-16.csv
2020-12-30,1399-10-10,1399,10,337.1,43.8,380.9,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-12-30.csv
2020-12-27,1399-10-07,1399,10,338,43.8,381.8,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2020-12-27.csv
2021-01-20,1399-11-01,1399,11,694.8,87.4,782.2,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-01-20.csv
2021-01-21,1399-11-02,1399,11,385.4,45.8,431.2,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-01-21.csv
2021-01-30,1399-11-11,1399,11,719.2,84.4,803.6,https://10.1.33.80/report-khorasan-razavi/daily_report_kh-razavi_2021-01-30.csv
